"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "HTML", "XML", "SCSS", "comment", "blank", "total"
"e:\Coding\tcg-database-base\tcg-database\server.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"e:\Coding\tcg-database-base\tcg-database\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 7, 22, 142
"e:\Coding\tcg-database-base\tcg-database\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 8, 16, 108
"e:\Coding\tcg-database-base\tcg-database\src\components\CardSearch\CardSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\components\CardSearch\CardSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 36, 7, 54
"e:\Coding\tcg-database-base\tcg-database\src\components\Carousel\Carousel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\components\Carousel\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\Coding\tcg-database-base\tcg-database\src\components\ElementBar\ElementBar.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"e:\Coding\tcg-database-base\tcg-database\src\components\ElementBar\ElementBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"e:\Coding\tcg-database-base\tcg-database\src\components\Footer\Footer.css", "CSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"e:\Coding\tcg-database-base\tcg-database\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"e:\Coding\tcg-database-base\tcg-database\src\components\NavBar\NavBar.css", "CSS", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 15, 92
"e:\Coding\tcg-database-base\tcg-database\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 7, 46
"e:\Coding\tcg-database-base\tcg-database\src\components\ScrollButton\ScrollButton.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\components\ScrollButton\ScrollButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\components\ToggleDarkMode\ToggleDarkMode.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 85
"e:\Coding\tcg-database-base\tcg-database\src\components\ToggleDarkMode\ToggleDarkMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\Coding\tcg-database-base\tcg-database\src\components\ToggleTextSwitch\ToggleTextSwitch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 85
"e:\Coding\tcg-database-base\tcg-database\src\components\ToggleTextSwitch\ToggleTextSwitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\Coding\tcg-database-base\tcg-database\src\database_articles\Opinion_Articles.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"e:\Coding\tcg-database-base\tcg-database\src\database_carousel\carousel_data.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOA1st.json", "JSON", 6627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6627
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOA1st_Alt.json", "JSON", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOAAlter.json", "JSON", 4762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4762
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOAAlter_Alt.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOASD.json", "JSON", 2673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2673
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_DOAp.json", "JSON", 2605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2605
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_EVP.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_Isekai.json", "JSON", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_KSP.json", "JSON", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_P22.json", "JSON", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\DB_SP1.json", "JSON", 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535
"e:\Coding\tcg-database-base\tcg-database\src\database_sets\Spoilers.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Coding\tcg-database-base\tcg-database\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Coding\tcg-database-base\tcg-database\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\Coding\tcg-database-base\tcg-database\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Coding\tcg-database-base\tcg-database\src\models\card.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"e:\Coding\tcg-database-base\tcg-database\src\pages\ArticleIndivPage\ArticleIndivPage.css", "CSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
